Бутан,754388
Папуа - Новая Гвинея, 9134073
ВЕСЬ МИР, 7674000000
Тринидад и Тобаго,1366725
Малави,19129952 
Киргизия,6523529
Замбия,18749180
Китай,1447364028
Индия,1398520301
США,333666025
Индонезия,277165567
Пакистан,225482486
Бразилия,214622951
Нигерия,211536493
Бангладеш,166746193
Россия,145990646
Мексика,130823400
Япония,126449787
Эфиопия,117744220
Филиппины,111370986
Египет,104608975
Вьетнам,98488498
Турция,85954498
Иран,85000823
Германия,83727972
Таиланд,70096374
Великобритания,68329385
Франция,65529822
Танзания,61606686
Италия,60568282
ЮАР,59866286
Кения,55244696
Мьянма,54876926
Южная Корея,51609067
Колумбия,51337799
Уганда,47168226
Испания,46605033
Аргентина,45670860
Судан,44705530
Алжир,44675047
Украина,43630785
Ирак,41700414
Афганистан,40195283
Канада,38145628
Польша,37877553
Марокко,37425273
Саудовская Аравия,35714957
Узбекистан,33953447
Ангола,33713731
Перу,33373834
Малайзия,32871320
Мозамбик,32078584
Гана,31825636
Йемен,30608381
Непал,29373404
Венесуэла,29060769
Мадагаскар,28450546
Камерун,27177320
Кот-д’Ивуар,26992553
Австралия,25933263
Северная Корея,25920875
Нигер,25157390
Тайвань,23866518
Буркин-Фасо,21527811
Шри-Ланка,21525174
Мали,20851384
Чили,19331282
Казахстан,19087693
Румыния,19079030
Гватемала,18288661
Эквадор,17907718
Сенегал,17294120
Нидерланды,17203174
Камбоджа,16997754
Чад,16974016
Сирия,16721256
Сомали,16213105
Зимбабве,15231567
Гвинея,13467118
Руанда,13241375
Бурунди,12301319
Тунис,11949758
Боливия,11858238
Южный Судан,11797006
Бельгия,116766820
Гаити,11560732
Куба,11353798
Доминиканская Республика,10988422
Чехия,10709903
Иордания,10608188
Греция,10386884
Азербайджан,10298581
Швеция,10189848
Португалия,10144696
Объединенные Арабские Эмираты,10103370
Гондурас,10036654
Венгрия,9627285
Таджикистан,9739923
Беларусь,9451958
Папуа-Новая Гвинея,9139000
Австрия,9028024
Израиль,8796551
Швейцария,8769473
Сербия,8695639
Того,8501574
Гонконг,7556477
Ливан,7443383
Лаос,7398082
Парагвай,7227310
Болгария,6902500
Ливия,6828602
Никарагуа,6697365
Кыргызстан,6628049
Сальвадор,6497312
Туркменистан,6098200
Сингапур,5995081
Дания,5817590
Оман,5667999
Демократическая Республика Конго,5653812
Финляндия,5576754
Словакия,5464137
Норвегия,5500114
Палестина,5245010
Либерия,5186808
Коста-Рика,5154185
Ирландия,4932178
Центрально-Африканская Республика,4924280
Новая Зеландия,4853015
Мавритания,4755239
Кувейт,4539182
Панама,4383197
Хорватия,4096353
Молдова,4034062
Грузия,3922696
Уругвай,3484731
Монголия,3334543
Босния и Герцеговина,3284630
Катар,3054768
Армения,2976148
Ямайка,2970936
Пуэрто-Рико,2890900
Албания,2877840
Литва,2676235
Намибия,2601921
Гамбия,2495623
Ботсвана,2395674
Габон,2271599
ДНР*,2244547
Северная Македония,2088119
Словения,2083211
Гвинея-Бисау,2013550
Латвия,1863925
Республика Косово,1768408
Бахрейн,1714524
ЛНР*,1450000
Восточный Тимор,1349415
Эстония,1320410
Маврикий,1278147
Кипр,1222062
Эсватини,1104479
Джибути,999881
Фиджи,902777
Реюньон,901568
Коморские острова,890747
Гайана,788803
Бутан,783760
Соломонова острова,698948
Люксембург,640917
Черногория,629149
Западная Сахара,609207
Суринам,591977
Кабо-Верде,562612
Мальдивы,549767
Мальта,443010
Бруней,444716
Белиз,406784
Гваделупа,403014
Багамские острова,399682
Мартиника,375890
Исландия,343636
Вануату,313604
Новая Каледония,289597
Барбадос,288577
Французская Полинезия,284465
Французская Гвиана,281612
Майотта,280531
Абхазия**,243604
Самоа,199944
Сент-Люсия,185456
Нормандские острова,174434
Гуам,171157
Кюрасао,165128
Кирибати,121685
Гренада,112928
Сент-Винсент и Гренадины,110815
Виргинские острова,104474
Аруба,170233
Тонга,105748
Сейшелы,99064
Антигуа и Барбуда,98982
Остров Мэн,85952
Андорра,77579
Доминика,72123
Каймановы острова,67525
Гернси,62792
Бермудские острова,62931
Маршалловые острова,60682
Гренландия,56757
Сент-Киттс и Невис,53651
Синг-Мартен,44642
Фарерские острова,49085
Терск и Кайкос,40486
Монако,39036
Лихтенштейн,38441
Сан-Марино,34417
Гибралтар,33832
Британские Виргинские острова,30926
"Бонэйр, Синт-Эстатиус и Саба",26223
Палау,18143
Остров Кука,16744
Ангилья,15413
Нуару,11162
Сен-Барталеми,9625
Остров Св. Елены,6099
Сент-Пьер и Микелон,5811
Монтсеррат,5028
Фолклендские острова,3353
Токелау,1647
Ниуэ,1591
Ватикан,825
Острова Питкэрн,45
